id;time;alarm_time;enabled;sound;label;repeat_days;snooze_enabled;snooze_duration
4418ef3a-68aa-445e-9f6c-87cc0165b167;2024-04-23T22:08:24;2024-04-24T02:18:34;false;round;abaft;2024-04-23;true;7805
8883cb3d-8b7a-43aa-b13e-0f8d713e2e4d;2024-04-24T00:44:01;2024-04-23T17:55:48;true;unbearably rebut;justly institutionalize;2024-04-23;true;32473
636ec389-4d0f-4eb5-8521-a3b32b07c0eb;2024-04-23T15:45:23;2024-04-23T19:55:30;true;blah ew;despite oh quick;2024-04-23;true;2727
08b20321-2ff3-4d8a-ae74-5d81f5b3e2d5;2024-04-24T08:33:14;2024-04-23T22:51:22;false;however;attendance pish wherever;2024-04-24;false;5412
5f1aaa6b-402a-4bcd-b9de-e142a871c983;2024-04-24T11:18:19;2024-04-24T03:12:55;true;quixotic wherever;woefully until;2024-04-24;true;6270
4056b5be-57b4-4de4-a08f-cabaa6060320;2024-04-24T07:56:46;2024-04-23T18:58:37;false;curly broiler;uh-huh chorus velocity;2024-04-24;true;24227
35692fbd-8598-4090-b7f8-6a229458e087;2024-04-24T11:24:46;2024-04-24T08:35:48;false;ack bare;like;2024-04-24;false;5431
2416a7fa-673d-4863-8d83-bd15f061932b;2024-04-23T20:30:41;2024-04-24T12:35:21;false;supposing anxious however;recklessly whereas;2024-04-24;true;30639
f1dc72ba-06bc-4063-8696-0926fcf8e394;2024-04-23T19:20:04;2024-04-24T14:23:58;true;as lest suspiciously;loyally oof indeed;2024-04-24;false;31698
1d1413ce-3b2e-4aa0-9a14-28fa4e3838fb;2024-04-24T10:08:36;2024-04-24T13:48:23;true;vivaciously ha;lest yippee;2024-04-23;false;1111
